mean,variance
0.02,0.0196
0.14,0.2404
0.44,0.8064
1.32,2.5776
4.18,4.6276
3.7,5.25
3.58,5.5236
3.94,6.0164
4.14,6.6004
4.18,7.0276
3.46,7.0484
4.14,7.3604
3.96,7.4784
4.16,7.6144
3.8,7.76
4.64,7.8304
4.47,8.1091
4.5,8.65
4.56,8.9264
4.17,8.9811
4.58,9.6436
4.84,9.9344
11.64,13.8704
10.2,16.96
11.24,17.3424
11.06,19.4964
10.12,19.7056
9.82,20.3076
10.98,20.4196
11.12,21.2256
11.2,21.6
11.69,21.8339
11.72,23.4016
11.08,23.5136
12.16,23.8144
10.94,24.5364
10.74,25.7924
10.5,25.97
11.88,26.0256
11.54,26.2084
11.34,26.9844
10.6,27.88
11.54,27.8884
10.66,29.5444
11.76,30.9424
11.84,31.5344
10.65,22.7475
3.96,8.4784
